Exchange Name,Exchange Acronym,Exchange MIC Code,Country,Currency,Time Zone,Open Time,Close Time
New York Stock Exchange,NYSE,XNYS,United States,USD,America/New_York,09:30,16:00
NASDAQ,NASDAQ,XNAS,United States,USD,America/New_York,09:30,16:00
NYSE American,AMEX,XASE,United States,USD,America/New_York,09:30,16:00
Chicago Board Options Exchange,CBOE,XCBO,United States,USD,America/Chicago,08:30,15:15
Chicago Mercantile Exchange,CME,XCME,United States,USD,America/Chicago,08:30,15:15
New York Mercantile Exchange,NYMEX,XNYM,United States,USD,America/New_York,09:00,17:30
Intercontinental Exchange,ICE,XICE,United States,USD,America/New_York,08:00,18:00
London Stock Exchange,LSE,XLON,United Kingdom,GBP,Europe/London,08:00,16:30
London Metal Exchange,LME,XLME,United Kingdom,GBP,Europe/London,08:00,17:00
Euronext Paris,EPA,XPAR,France,EUR,Europe/Paris,09:00,17:35
Euronext Amsterdam,AEX,XAMS,Netherlands,EUR,Europe/Amsterdam,09:00,17:35
Euronext Brussels,EBR,XBRU,Belgium,EUR,Europe/Brussels,09:00,17:35
Euronext Lisbon,ELI,XLIS,Portugal,EUR,Europe/Lisbon,08:00,16:30
Deutsche Boerse Xetra,XETRA,XETR,Germany,EUR,Europe/Berlin,09:00,17:30
Frankfurt Stock Exchange,FSE,XFRA,Germany,EUR,Europe/Berlin,09:00,17:30
Borsa Italiana,BIT,XMIL,Italy,EUR,Europe/Rome,09:00,17:35
Bolsa de Madrid,BME,XMAD,Spain,EUR,Europe/Madrid,09:00,17:35
SIX Swiss Exchange,SIX,XSWX,Switzerland,CHF,Europe/Zurich,09:00,17:30
Oslo Bors,OSE,XOSL,Norway,NOK,Europe/Oslo,09:00,16:20
Nasdaq Stockholm,STO,XSTO,Sweden,SEK,Europe/Stockholm,09:00,17:30
Nasdaq Copenhagen,CPH,XCSE,Denmark,DKK,Europe/Copenhagen,09:00,17:00
Nasdaq Helsinki,HEL,XHEL,Finland,EUR,Europe/Helsinki,10:00,18:30
Nasdaq Iceland,ICE,XICE,Iceland,ISK,Atlantic/Reykjavik,09:30,15:30
Wiener Boerse,WBAG,XWBO,Austria,EUR,Europe/Vienna,09:00,17:35
Prague Stock Exchange,PSE,XPRA,Czech Republic,CZK,Europe/Prague,09:00,16:20
Budapest Stock Exchange,BSE,XBUD,Hungary,HUF,Europe/Budapest,09:00,17:00
Warsaw Stock Exchange,WSE,XWAR,Poland,PLN,Europe/Warsaw,09:00,17:05
